name,nobluray,time
私人荒漠 WEB-DL版下载/Private Desert 2021 Deserto particular 5.1G,蓝光高清,02-02
网诱惊魂 蓝光高清MKV版/网诱危机 / 网络危机 / 人心简介 / 简介 / 账户 2018 Profile 7.8G,蓝光高清,02-01
在你面前 WEB-DL版下载/In Front of Your Face 2021 당신얼굴 앞에서 4.9G,蓝光高清,01-15
偶然与想象 蓝光高清MKV版/偶然与想象之轮(港) / 命运与幻想之轮 / Wheel of Fortune and Fantasy 2021 偶然と想像 11.8G,蓝光高清,01-14
追捕聂鲁达 蓝光高清MKV版/流亡诗人聂鲁达(港) / 追缉聂鲁达(台) 2016 Neruda 7.9G,蓝光高清,01-13
Soho区惊魂夜 蓝光原盘下载+高清MKV版/苏豪的最后一夜(港) / 迷离夜苏活(台) 2021 Last Night in Soho 20.5G,电影,01-11
伊丽莎白不见了 WEB-DL版下载 2019 Elizabeth is Missing 5.2G,蓝光高清,01-10
黑色面包 蓝光高清MKV版/黑面包 / Black Bread / Pan Negro 2010 Pa negre 10.9G,蓝光高清,01-09
热血街区电影版：极恶王 蓝光高清MKV版/热血街区电影版：鬼邪高vs凤仙 / High & Low: The Worst 2019 HiGH&LOW THE WORST 11.0G,蓝光高清,01-09
再见列宁 蓝光高清MKV版/快乐的谎言(港) / 再见，列宁！(台) / 民主德国在79平方米房间里的延续 / Goodbye Lenin! 2003 Good Bye Lenin! 14.5G,蓝光高清,01-08
迈阿密的一夜 4K蓝光高清MKV版 2020 One Night in Miami... 12.4G,4K,01-08
欢乐好声音2 蓝光高清MKV版/星梦动物园2(港) 2021 Sing 2 19.4G,蓝光高清,01-08
沙丘 4K蓝光原盘+3D+高清MKV版/沙丘瀚战(港) 2021 Dune 90.65G,3D资源,01-07
超能敢死队 蓝光高清MKV版/捉鬼敢死队：魅来世界(港) / 魔鬼克星 未来世(台) / 捉鬼敢死队：来世 / 捉鬼敢死队：来生 / 新捉鬼敢死队 / 捉鬼敢死队3 / 锈蚀之城 / Ghostbusters 2020 / Rust City 2021 Ghostbusters: Afterlife 13.1G,蓝光高清,01-06
哈利·波特20周年：回到霍格沃茨 蓝光高清MKV版/哈利·波特20周年特辑：重返霍格沃茨 2022 Harry Potter 20th Anniversary: Return to Hogwarts 6.2G,纪录片,01-05
造物弄人 蓝光原盘下载+高清MKV版/ 创生 / 创造 / 达尔文传 2009 Creation 15.6G,电影,01-04
"四月三周两天 蓝光高清MKV版/4月3周2日：堕胎日记(港) / 4月3周又2天(台) / 堕胎日记 / 悲观主义的花朵 / 短暂的一天 / 4 Months, 3 Weeks and 2 Days 2007 4 luni, 3 săptămâni și 2 zile 6.1G",蓝光高清,01-02
航运新闻 蓝光原盘下载+高清MKV版/真情快递 / 笔下有晴天 / 梦魇浮生 / 船讯 / 航讯 2001 The Shipping News 35.1G,电影,01-02
长津湖 WEB-DL版下载/The Battle at Lake Changjin / 冰雪长津湖 / 抗美援朝 / 长津湖之战 / Battle of Chosin Reservior 2021 长津湖 19.6G,蓝光高清,01-02
无辜者 蓝光高清MKV版/The Innocents 2021 De uskyldige 15.5G,蓝光高清,12-31
弥撒 WEB-DL版下载 2021 Mass 6.2G,蓝光高清,12-31
得买新鞋了 蓝光原盘下载+高清MKV版/巴黎恋爱写真(港) / 巴黎鞋缘 / 得买新鞋啦 / I Have to Buy New Shoes 2012 新しい靴を買わなくちゃ 22.6G,电影,12-30
国王的选择 蓝光高清MKV版/国王的抉择(台) / The King's Choice 2016 Kongens Nei 11.8G,蓝光高清,12-29
不要抬头 4K-WEBDL版/千万别抬头 / 别往天上看 2021 Don’t  Look Up 16.0G,电影,12-26
离婚不分手 蓝光原盘下载+高清MKV版/分手再爱你(港) / 真爱Hold不住?!(台) / 永远的莎莉丝特和杰西 / 希勒斯特与杰西 / 离婚男女 2012 Celeste and Jesse Forever 28.6G,电影,12-24
呼朋引伴 WEB-DL版下载/C'mon C'mon 2021 C'mon C'mon 19.2G,蓝光高清,12-23
伊万的童年 蓝光原盘下载+高清MKV版/伊凡的少年时代(台) / 伊凡的童年 / 伊凡的童年时代 / Ivanovo detstvo / Ivan's Childhood 1962 Иваново детство 40.2G,电影,04-11
流浪者：一部关于安东尼·波登的电影 蓝光高清MKV版 2021 Roadrunner: A Film About Anthony Bourdain 12.2G,蓝光高清,04-11
誓不低头 蓝光高清MKV版/套装 2022 The Outfit 11.2G,蓝光高清,04-07
电影史话：新生代 蓝光高清MKV版 2021 The Story of Film: A New Generation 15.1G,蓝光高清,04-07
舞台春秋 蓝光原盘下载+高清MKV版/舞台春秋 1952 Limelight 19.6G,电影,04-07
蠢蛋搞怪到永远 蓝光高清MKV版/新蠢蛋搞怪秀 / 无理取闹4 / Jackass 4 2022 Jackass Forever 16.6G,蓝光高清,04-04
龙和雀斑公主 蓝光高清MKV版/龙与雀斑公主(港/台) / Belle / Belle: The Princess of Dragons and Freckles / Ryû to sobakasu no hime 2021 竜とそばかすの姫 9.3G,蓝光高清,04-02
幻灭 蓝光高清MKV版/巴黎梦想家(台) / 人间喜剧 / La Comédie humaine / Lost Illusions 2021 Illusions perdues 11.3G,蓝光高清,04-01
凡尔杜先生 蓝光原盘下载+高清MKV版/华度先生 / 杀人狂时代 / 杀人的喜剧 / 杀人喜剧 / A Comedy of Murders / The Ladykiller 1947 Monsieur Verdoux 21.1G,电影,03-31
陆上行舟 蓝光高清MKV版/菲茨卡拉多 1982 Fitzcarraldo 13.1G,蓝光高清,03-31
朱莉娅 WEB-DL版下载 2021 Julia 6.0G,蓝光高清,03-31
奥利维亚·罗德里戈：情歌少女 WEB-DL版下载/Olivia Rodrigo：情歌少女(台) 2022 Olivia Rodrigo: driving home 2 u 12.8G,蓝光高清,03-29
狙击手 WEB-DL版下载/Snipers / 最冷的枪 2022 狙击手 4.5G,蓝光高清,03-28
夺命剑 WEB-DL版下载/叛逆 / Samurai Rebellion / Rebellion: Receive the Wife 1967 上意討ち 拝領妻始末 6.8G,蓝光高清,03-28
快停下，泽米莉亚 蓝光高清MKV版/Stop-Zemlia 2021 Стоп-Земля 16.0G,蓝光高清,03-26
拥抱小熊猫：青春变形记背后的故事 WEB-DL版下载/拥抱熊猫：青春变形记幕后 2022 Embrace the Panda: Making Turning Red 5.5G,蓝光高清,03-26
一江春水 WEB-DL版下载/River of Salvation 2020 一江春水 3.2G,蓝光高清,03-23
特征可识别 蓝光高清MKV版/Identifying Features 2020 Sin Señas Particulares 6.0G,蓝光高清,03-22
忠犬 蓝光高清MKV版/逍遥上路(台) 2022 Dog 14.7G,蓝光高清,03-21
男人与他的海 蓝光高清MKV版/Whale Island 2020 男人與他的海 11.0G,蓝光高清,03-21
教父 4K蓝光原盘下载+高清MKV版/教父1/1972 The Godfather 96.3GB,4K,03-20
教父2 4K蓝光原盘下载+高清MKV版/教父续集/教父II / 1974 The Godfather: Part Ⅱ 91.3G,4K,03-20
教父3 4K蓝光原盘下载+高清MKV版/教父第三集/教父 III 1990 The Godfather: Part III 89.9G,4K,03-20
玉面情魔 4K蓝光原盘下载+蓝光高清MKV版/噩梦巷 / 夜路(台) 2021  Nightmare Alley 41.1G,4K,03-19
登山家 蓝光高清MKV版 2021 The Alpinist 10.8G,蓝光高清,03-18
热带离魂 WEB-DL版下载/我与布鲁塞尔的距离(港) / 热带鬼影 / Atograzu vaiduoklis 2019 Ghost Tropic 5.5G,蓝光高清,03-18
蜘蛛侠：英雄无归 4K蓝光原盘下载+高清MKV版/新蜘蛛侠3 / 蜘蛛侠：无回之战 / 蜘蛛侠：不战无归(港) / 蜘蛛人：无家日(台) / 蜘蛛侠3：英雄末路 / 蜘蛛侠3：无家可归 / Spider-Man 3 / Spider-Man: Phone Home / Spider-Man: Home-Wrecker / Spider-Man: Home Slice 2021 Spider-Man: No Way Home 61.5G,4K,03-16
天佑鲍比 蓝光原盘下载+高清MKV版/为鲍比的祈祷 / 为巴比祈祷 2009 Prayers for Bobby 17.1G,电影,03-15
青春变形记 蓝光高清MKV版/熊抱青春记(港) / 青春养成记(台) / 变红 2022 Turning Red 16.8G,蓝光高清,03-13
奔腾年代 蓝光原盘下载+高清MKV版/壮志奔腾(港) / 奔腾岁月 2003 Seabiscuit 28.6G,电影,03-12
美国女孩 WEB-DL版下载/American Girl 2021 美國女孩 3.5G,蓝光高清,03-12
金色池塘 蓝光高清MKV版/La maison du lac / Am goldenen See 1981 On Golden Pond 7.6G,蓝光高清,03-11
西区故事 蓝光原盘下载+高清MKV版/西城故事(港/台) 2021 West Side Story 44.1G,电影,03-10
小妈妈 蓝光高清MKV版/童心奇緣(港) / Lille mamma / Mała mama 2021 Petite maman 4.2G,蓝光高清,03-08
杨之后 WEB-DL版下载/向杨说再见 2021 After Yang 13.9G,蓝光高清,03-07
露西尔与戴斯 蓝光高清MKV版 2022 Lucy & Desi 10.8G,蓝光高清,03-07
横道世之介 蓝光原盘下载+高清MKV版/那年遇上世之介(港) / A Story of Yonosuke 2013 横道世之介 44.3G,电影,03-07
五月之后 蓝光高清MKV版/五月风暴(台) / 空中之物 / After May / Something in the Air 2012 Après Mai 8.7G,蓝光高清,03-06
超越无限两分钟 蓝光高清MKV版/Droste no hate de bokura / Beyond The Infinite Two Minutes 2020 ドロステのはてで僕ら 7.0G,蓝光高清,03-06
倒霉性爱，发狂黄片 蓝光高清MKV版/Sleepwalkers / Bad Luck Banging or Loony Porn / 倒楣性爱和疯狂Ａ片(台) / 行衰运色情电影(港) 2021 Babardeală cu bucluc sau porno balamuc 10.2G,蓝光高清,03-05
黑匣子 4K蓝光原盘下载+高清MKV版/黑盒线索(台) / Black Box 2020 Boîte noire 30.5G,4K,03-05
"小野田的丛林万夜 蓝光高清MKV版/10000 Nights in the Jungle / ONODA 一万夜を越えて 2021 Onoda, 10 000 Nights in the Jungle 11.4G",蓝光高清,03-05
[顶级预告片]新蝙蝠侠/又名: 蝙蝠侠 / 重启版蝙蝠侠 The Batman 2022-03-18 全国公映,顶级预告,03-04
面子 WEB-DL版下载/爱·面子 2004 Saving Face 8.6G,蓝光高清,03-03
音范丝影单 | 第94届奥斯卡金像奖 (2022)提名影片，附资源链接。,影单,03-02
古驰家族 蓝光原盘下载+高清MKV版/GUCCI名门望族(港) / Gucci：豪门谋杀案(台) / 古驰之家 / 古驰王朝 / 古琦 / Gucci 2021 House of Gucci 44.7G,电影,03-01
塔米·菲的眼睛 蓝光原盘下载+高清MKV版/神圣电视台(台) 2021 The Eyes of Tammy Faye 45.5G,电影,03-01
美好的四天 蓝光原盘下载+高清MKV版/美妙四日 / 四个好日子 2020 Four Good Days 22.6G,电影,03-01
歌厅 蓝光原盘下载+高清MKV版 / 酒吧间 / 酒店 1972 Cabaret 44.8G,电影,02-01
永恒族 4K蓝光原盘下载+高清MKV版/永恒神族/2021 The Eternals 58.7GB,4K,01-30
逃走的女人 蓝光高清MKV版/出走的女人(港) / 逃亡的女人 / 逃跑的女人 / 奔跑的女人 / The Woman Who Ran / Domangchin Yeoja 2020 도망친 여자 7.5G,蓝光高清,01-29
爱情的尸检报告 蓝光高清MKV版/爱的后体验(台) / 爱的死后报告 / प्यार का पंचनामा 2011 Pyaar Ka Punchnama 3.2G,蓝光高清,01-28
